frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_media_bytes;tx_media_bytes;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
257;1;1;1;6064.959087;6065.062474;6065.095475;809323;0;0;28200;28200;22;22;28200;28288;100.000;0.857;0.857;6.789;7.454;6.789;32.996;0.017;0.018;33.066;0.066;33.000;0.056;99.800;103.388;35.561;0.739;1.037;0;0;0;0;0;0;0;0
258;1;1;1;6064.992051;6065.095510;6065.127807;806066;0;0;20304;20304;16;16;20304;20392;100.000;0.631;0.631;4.894;5.372;4.894;32.294;0.012;0.013;32.333;0.035;32.298;0.042;99.891;103.458;34.560;0.298;0.991;0;0;0;0;0;0;0;0
259;1;1;1;6065.025457;6065.127857;6065.161818;803994;0;0;21432;21432;17;17;21432;21520;100.000;0.634;0.634;5.165;5.674;5.165;33.958;0.013;0.015;34.010;0.050;33.961;0.044;99.854;102.400;35.238;0.986;0.991;0;0;0;0;0;0;0;0
260;1;1;1;6065.059014;6065.161867;6065.193702;804675;0;0;24440;24440;19;19;24440;24528;100.000;0.771;0.770;5.887;6.458;5.887;31.831;0.014;0.016;31.884;0.050;31.835;0.049;99.845;102.854;33.789;0.677;0.971;0;0;0;0;0;0;0;0
261;1;1;1;6065.092021;6065.193759;6065.227744;803023;0;0;26132;26132;20;20;26132;26220;100.000;0.772;0.772;6.293;6.896;6.293;33.982;0.014;0.017;34.042;0.057;33.986;0.049;99.834;101.738;34.497;1.442;1.001;0;0;0;0;0;0;0;0
262;1;1;1;6065.125673;6065.227808;6065.227825;804900;0;0;27636;27636;21;21;27636;27724;100.000;7389.589;1643.276;6.654;7.288;6.654;0.012;0.012;0.013;0.081;0.064;0.017;79.244;20.911;102.135;1.245;0.716;0.983;0;0;0;0;0;0;0;0
263;1;1;1;6065.158624;6065.261920;6065.295439;801032;0;0;28764;28764;22;22;28764;28852;100.000;0.861;0.861;6.924;7.590;6.924;33.514;0.013;0.015;67.614;34.095;33.519;0.046;49.574;103.296;35.525;0.778;0.970;0;0;0;0;0;0;0;0
264;1;1;1;6065.192319;6065.295506;6065.329545;793638;0;0;29892;29892;23;23;29892;29980;100.000;0.881;0.881;7.195;7.892;7.195;34.036;0.013;0.014;34.106;0.067;34.039;0.041;99.805;103.187;36.298;0.252;0.925;0;0;0;0;0;0;0;0
265;1;1;1;6065.225648;6065.329638;6065.361844;801156;0;0;29328;29328;23;23;29328;29416;100.000;0.914;0.913;7.060;7.756;7.060;32.202;0.019;0.021;32.299;0.094;32.205;0.065;99.710;103.990;35.264;0.799;0.917;0;0;0;0;0;0;0;0
266;1;1;1;6065.258694;6065.361893;6065.395991;804749;0;0;28576;28576;22;22;28576;28664;100.000;0.841;0.841;6.879;7.545;6.879;34.095;0.012;0.014;34.147;0.049;34.098;0.040;99.856;103.199;36.077;1.079;0.927;0;0;0;0;0;0;0;0
267;1;1;1;6065.292888;6065.396043;6065.429157;805449;0;0;28388;28388;22;22;28388;28476;100.000;0.860;0.860;6.834;7.500;6.834;33.111;0.009;0.011;33.166;0.052;33.114;0.032;99.843;103.155;35.910;0.817;0.920;0;0;0;0;0;0;0;0
268;1;1;1;6065.325436;6065.429236;6065.461609;805329;0;0;26884;26884;21;21;26884;26972;100.000;0.833;0.833;6.473;7.107;6.473;32.372;0.019;0.020;32.453;0.079;32.374;0.062;99.756;103.799;35.029;0.141;0.872;0;0;0;0;0;0;0;0
