frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
32;1;1;0.000000;0.087266;1.000000;2626.368681;2626.800236;2626.801313;782671;167802;154013;141972;141972;1775;2271552;100.000;2110.300;545.185;585.216;21.440;91.783;18.139;0.000;40.765;0.619;1.077;57.462;431.555;432.632;432.631;2873.484;125.639;92.306;79.350;5;72.482;72.482;116.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
33;1;1;0.000000;0.087266;1.000000;2626.483562;2626.913331;2626.916293;776999;162473;151153;139814;139814;1748;2237024;100.000;755.500;536.898;576.321;20.910;93.033;17.994;0.000;61.230;0.705;2.962;23.787;429.769;432.731;432.730;2955.130;113.095;79.762;79.376;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
34;1;1;0.000000;0.087266;1.000000;2626.611553;2627.039037;2627.040086;778650;157983;147475;137648;137648;1721;2202368;100.000;2102.087;528.581;567.394;20.289;93.349;17.678;0.000;57.907;0.697;1.049;66.441;427.485;428.533;428.532;3045.590;125.706;92.373;80.188;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
35;1;1;0.000000;0.087266;1.000000;2626.730012;2627.170072;2627.172453;778007;156457;146475;137154;137154;1715;2194464;100.000;921.701;526.684;565.362;20.110;93.620;17.629;0.000;56.228;0.648;2.382;27.203;440.059;442.441;442.440;3144.624;131.034;97.701;81.283;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
36;1;1;0.000000;0.087266;1.000000;2626.842483;2627.289319;2627.290378;776483;155937;147008;138046;138046;1726;2208736;100.000;2086.428;530.109;569.035;20.082;94.274;17.778;0.000;81.891;0.622;1.059;58.694;446.836;447.895;447.894;3229.215;119.247;85.914;81.572;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
37;1;1;0.000000;0.087266;1.000000;2626.974562;2627.401996;2627.403047;781287;157460;149487;139346;139346;1742;2229536;100.000;2122.651;535.101;574.388;20.154;94.936;17.835;0.000;63.867;0.621;1.051;59.098;427.434;428.485;428.484;3308.551;112.676;79.343;81.433;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
38;1;1;0.000000;0.087266;1.000000;2627.099204;2627.533899;2627.538232;780329;157637;150141;141098;141098;1764;2257568;100.000;521.053;541.829;581.612;20.201;95.245;18.082;0.000;63.540;3.719;4.334;85.824;434.694;439.028;439.027;3410.403;131.903;98.570;82.504;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
39;1;1;0.000000;0.087266;1.000000;2627.218613;2627.711154;2627.712234;780785;158178;150818;142238;142238;1778;2275808;100.000;2108.876;546.206;586.306;20.259;95.347;18.217;0.000;58.137;0.653;1.080;60.428;492.541;493.621;493.620;3551.071;177.256;143.922;86.343;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
40;1;1;0.087266;0.087266;1.000000;2627.337551;2627.834438;2627.835744;785430;159340;152098;143844;143844;1799;2301504;100.000;1762.760;552.373;592.946;20.287;95.455;18.314;0.000;46.925;0.632;1.306;48.406;496.887;498.193;498.193;3641.248;123.284;89.950;86.568;6;102.348;102.348;157.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
41;1;1;0.087266;0.087266;1.000000;2627.461788;2627.957908;2627.959145;789479;161458;154259;146416;146416;1831;2342656;100.000;1894.544;562.250;603.545;20.451;95.541;18.546;0.000;76.631;0.852;1.237;68.839;496.119;497.356;497.356;3731.315;123.470;90.136;86.791;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
