frame_id;status;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;clock_offset_ms;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;network_bitrate_mbps;conversion_ms;projection_ms;tx_duration_ms;active_process_ms;total_processing_ms;total_residency_ms;node_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_to_node_latency_ms;end_to_end_latency_ms;schedule_delay_ms;network_jitter_ms;wait_raw_queue_ms;wait_render_queue_ms;encode_h265_ms;mpeg_bytes_generated;tx_retries;mbuf_starvation
162;1;1;Idle;0.000;0.000;1.000;29620.378892;29620.379376;29620.424241;0.465;790930;790930;790930;9887;23;12654920;100.00;829.646;3037.181;7.700;15.747;13.846;37.293;37.293;44.866;83.121;9.586;1.609;0.734;1.388;2.430;0.018;44.884;14128.037;60.571;0.002;0.018;287.253;28388;0;0
163;1;1;Idle;0.000;0.000;1.000;29620.520972;29620.521447;29620.558328;0.465;793734;793734;793734;9922;23;12699784;100.00;825.402;3047.948;7.733;15.535;5.939;29.207;29.207;36.881;79.193;9.343;1.607;0.734;1.400;2.450;0.010;36.891;14228.790;108.738;0.002;0.019;257.319;29704;0;0
164;1;1;Idle;0.000;0.000;1.000;29620.651271;29620.651746;29620.695205;0.465;792883;792883;792883;9912;23;12686168;100.00;825.322;3044.680;7.677;15.622;12.446;35.744;35.744;43.458;82.250;9.433;1.609;0.736;1.405;2.438;0.011;43.469;14332.333;96.966;0.002;0.018;229.364;29892;0;0
165;1;1;Idle;0.000;0.000;1.000;29620.761766;29620.762241;29620.807225;0.465;791299;791299;791299;9892;24;12660824;100.00;826.948;3038.598;7.701;15.738;13.916;37.355;37.355;44.984;83.040;9.559;1.603;0.736;1.405;2.434;0.011;44.995;14411.021;77.162;0.002;0.019;252.951;30644;0;0
166;1;1;Idle;0.000;0.000;1.000;29620.872452;29620.872929;29620.909663;0.465;789485;789485;789485;9869;101;12631800;100.00;825.033;3031.632;7.613;15.406;5.998;29.017;29.017;36.735;78.991;9.238;1.598;0.732;1.401;2.437;0.012;36.746;14480.126;77.354;0.002;0.018;275.500;132916;0;0
167;1;1;Idle;0.000;0.000;1.000;29621.000049;29621.000544;29621.043721;0.465;789977;789977;789977;9875;23;12639672;100.00;825.911;3033.521;7.660;15.543;12.310;35.512;35.512;43.176;82.249;9.375;1.597;0.732;1.401;2.438;0.030;43.207;14580.850;94.282;0.002;0.018;265.995;29328;0;0
168;1;1;Idle;0.000;0.000;1.000;29621.131304;29621.131792;29621.176688;0.465;791598;791598;791598;9895;20;12665608;100.00;824.102;3039.746;7.644;15.682;13.826;37.152;37.152;44.897;82.749;9.506;1.593;0.737;1.405;2.440;0.022;44.919;14680.484;97.914;0.002;0.018;236.462;25192;0;0
169;1;1;Idle;0.000;0.000;1.000;29621.257458;29621.257939;29621.295001;0.465;795034;795034;795034;9938;20;12720584;100.00;810.976;3052.940;7.753;15.555;5.801;29.109;29.109;37.061;78.542;9.375;1.607;0.738;1.386;2.450;0.016;37.077;14765.463;92.814;0.002;0.018;245.877;25380;0;0
170;1;1;Idle;0.000;0.000;1.000;29621.352830;29621.353317;29621.396805;0.465;794863;794863;794863;9936;20;12717848;100.00;825.707;3052.284;7.735;15.639;12.416;35.790;35.790;43.488;82.300;9.454;1.609;0.732;1.392;2.452;0.022;43.510;14833.934;62.045;0.002;0.028;261.580;25944;0;0
171;1;1;Idle;0.000;0.000;1.000;29621.486970;29621.487459;29621.532612;0.465;794885;794885;794885;9937;22;12718200;100.00;823.300;3052.368;7.733;15.829;13.857;37.419;37.419;45.153;82.870;9.601;1.605;0.733;1.391;2.499;0.024;45.178;14936.408;100.808;0.002;0.018;242.925;27260;0;0
