frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
271;1;1;-2.530727;0.000000;1.000000;2429.874088;2430.070799;2430.078234;796101;181623;158138;145088;145088;1814;2321408;100.000;312.318;557.150;598.062;22.814;87.069;18.225;0.001;57.940;6.965;7.435;93.679;196.711;204.146;204.144;6.683;27.577;5.756;5.740;29;11.798;19.788;76.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
272;1;1;-2.530727;0.000000;1.000000;2429.907421;2430.109584;2430.111873;805073;170832;156020;144742;144742;1810;2315872;100.000;1012.192;555.822;596.643;21.219;91.329;17.979;0.000;107.713;1.412;2.289;61.709;202.163;204.451;204.451;6.989;38.785;5.452;5.722;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
273;1;1;-2.530727;0.000000;1.000000;2429.940755;2430.141725;2430.170372;797204;168205;154907;144320;144320;1804;2309120;100.000;80.609;554.201;594.887;21.099;92.094;18.103;0.000;0.000;4.271;28.647;14.908;200.970;229.617;229.617;32.155;32.141;1.192;5.439;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
274;1;1;-2.530727;0.000000;1.000000;2429.974088;2430.170718;2430.175443;805139;166757;155370;144042;144042;1801;2304672;100.000;487.917;553.134;593.752;20.712;93.172;17.890;0.000;0.000;1.109;4.725;23.461;196.629;201.354;201.353;3.892;28.992;4.341;5.370;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
275;1;1;-2.530727;0.000000;1.000000;2430.007423;2430.207870;2430.214587;808073;164807;154126;144130;144130;1802;2306080;100.000;343.446;553.472;594.112;20.395;93.519;17.836;0.000;92.502;5.982;6.717;89.052;200.447;207.165;207.162;9.703;37.153;3.819;5.273;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
276;1;1;-2.530727;0.000000;1.000000;2430.040756;2430.240051;2430.257068;813584;164648;155233;144164;144164;1803;2306624;100.000;135.556;553.602;594.265;20.237;94.282;17.720;0.000;0.000;5.675;17.017;33.351;199.296;216.313;216.312;18.851;32.181;1.152;5.016;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
277;1;1;-2.530727;0.000000;1.000000;2430.074088;2430.279039;2430.284002;812306;163599;154399;144334;144334;1805;2309344;100.000;465.403;554.255;594.963;20.140;94.376;17.768;0.000;95.784;4.275;4.963;86.147;204.951;209.914;209.913;12.452;38.988;5.655;5.056;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
278;1;1;-2.530727;0.000000;1.000000;2430.107422;2430.307096;2430.312472;817500;163237;154950;144850;144850;1811;2317600;100.000;431.229;556.236;597.080;19.968;94.923;17.719;0.001;0.000;4.464;5.376;83.038;199.674;205.050;205.048;7.588;28.056;5.277;5.069;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
279;1;1;-2.530727;0.000000;1.000000;2430.140755;2430.353207;2430.367172;824803;163987;156001;147006;147006;1838;2352096;100.000;168.446;564.516;605.968;19.882;95.130;17.823;0.000;0.000;1.269;13.964;9.089;212.452;226.416;226.416;28.954;46.112;12.778;5.551;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
280;1;1;-2.530727;0.000000;1.000000;2430.174088;2430.379802;2430.383268;813944;165964;158467;149388;149388;1868;2390208;100.000;689.741;573.662;615.792;20.390;95.483;18.354;0.000;76.442;2.579;3.466;74.414;205.714;209.180;209.179;11.717;26.595;6.739;5.625;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
