frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
31;1;1;1;0.000000;0.000000;1.000000;2421.874089;2421.942494;2422.069665;784392;130660;143948;100;1800;130660;142260;100.000;3.443;3.747;552.773;593.368;34.142;176776;155937;143948;0.226;0.106;0.067;3.023;1.059;0.063;32.925;31.800;127.138;127.172;126.095;25.890;25.219;2.352;0.189;0.083;68.405;195.576;135.109;29.229;4.104;3.914;0.000;0.033;0.000;38;28.844;123.038;7;0;0;0;0;0;0;0
32;1;1;1;0.000000;0.000000;1.000000;2421.907422;2421.980533;2422.104536;782671;28952;141972;22;1775;28952;31504;100.000;590.689;640.808;545.185;585.216;7.561;167802;154013;141972;0.178;0.105;0.065;1.974;1.097;0.058;38.949;37.787;123.980;124.003;122.888;31.410;30.749;1.373;0.185;0.069;73.111;197.114;136.646;38.039;4.706;3.963;0.000;0.024;0.000;15;35.877;120.889;2;0;0;0;0;0;0;0
33;1;1;1;0.000000;0.000000;1.000000;2421.940755;2422.013276;2422.139787;776999;23500;139814;18;1748;23500;25588;100.000;0.872;0.946;536.898;576.321;6.141;162473;151153;139814;0.184;0.106;0.066;1.996;1.296;0.327;38.314;36.952;126.458;126.511;125.190;30.285;29.517;1.371;0.184;0.085;72.521;199.032;138.564;32.744;0.590;3.753;0.000;0.053;0.000;17;35.022;123.139;2;0;0;0;0;0;0;0
34;1;1;1;0.000000;0.000000;1.000000;2421.974088;2422.040380;2422.169180;778650;22936;137648;18;1721;22936;25024;100.000;0.593;0.645;528.581;567.394;6.006;157983;147475;137648;0.223;0.108;0.063;3.467;1.020;0.060;32.690;31.606;128.771;128.800;127.762;25.380;24.738;2.456;0.183;0.434;66.292;195.092;134.624;27.104;6.229;3.907;0.000;0.029;0.000;17;28.203;124.265;2;0;0;0;0;0;0;0
35;1;1;1;0.000000;0.000000;1.000000;2422.007422;2422.079258;2422.206117;778007;23124;137154;18;1715;23124;25212;100.000;0.701;0.761;526.684;565.362;6.051;156457;146475;137154;0.182;0.105;0.065;1.971;1.185;0.353;41.420;40.170;126.833;126.858;125.655;32.650;31.969;1.368;0.180;0.070;71.837;198.695;138.227;38.878;5.545;4.010;0.000;0.026;0.000;12;38.264;123.658;3;0;0;0;0;0;0;0
36;1;1;1;0.000000;0.000000;1.000000;2422.040755;2422.112472;2422.242641;776483;25004;138046;19;1726;25004;27208;100.000;0.921;0.999;530.109;569.035;6.530;155937;147008;138046;0.227;0.106;0.063;2.045;1.322;0.086;39.677;38.291;130.111;130.170;128.828;30.481;29.723;1.388;0.182;0.078;71.717;201.886;141.419;33.214;0.120;3.767;0.000;0.059;0.000;18;36.310;126.722;2;0;0;0;0;0;0;0
37;1;1;1;0.000000;0.000000;1.000000;2422.074088;2422.139818;2422.269615;781287;26132;139346;20;1742;26132;28452;100.000;0.642;0.696;535.101;574.388;6.828;157460;149487;139346;0.214;0.105;0.065;3.386;1.312;0.383;30.333;28.957;129.788;129.797;128.461;23.370;22.541;2.734;0.183;0.086;65.730;195.527;135.059;27.346;5.987;3.905;0.000;0.009;0.000;11;25.635;125.063;4;0;0;0;0;0;0;0
38;1;1;1;0.000000;0.000000;1.000000;2422.107427;2422.180751;2422.305831;780329;28012;141098;22;1764;28012;30564;100.000;0.853;0.928;541.829;581.612;7.335;157637;150141;141098;0.185;0.105;0.063;1.977;0.952;0.055;40.911;39.895;125.054;125.081;124.104;32.708;32.147;1.369;0.184;0.069;73.324;198.405;137.942;40.932;7.599;4.136;0.000;0.026;0.000;19;37.982;122.100;3;0;0;0;0;0;0;0
39;1;1;1;0.000000;0.000000;1.000000;2422.140755;2422.213759;2422.339662;780785;28952;142238;22;1778;28952;31504;100.000;1.122;1.217;546.206;586.306;7.561;158178;150818;142238;0.181;0.106;0.066;1.979;1.000;0.057;36.757;35.692;125.842;125.903;124.886;29.195;28.579;1.375;0.186;0.065;73.004;198.907;138.439;33.008;0.325;3.898;0.000;0.061;0.000;21;33.779;122.838;2;0;0;0;0;0;0;0
40;1;1;1;0.000000;0.000000;1.000000;2422.174089;2422.239687;2422.369765;785430;29892;143844;23;1799;29892;32560;100.000;0.746;0.810;552.373;592.946;7.814;159340;152098;143844;0.215;0.105;0.065;2.560;1.483;0.401;33.067;31.520;130.060;130.078;128.566;25.421;24.516;1.895;0.198;0.083;65.598;195.677;135.209;25.928;7.405;4.117;0.000;0.018;0.000;17;29.024;125.987;3;0;0;0;0;0;0;0
