filename;status;num_points;read_ascii_ms;write_bin_ms;conversion_ms;size_ascii_bytes;size_bin_bytes
loot_vox10_1169.ply;success;794863;7626.363;4.401;7649.699;17276620;12717808
loot_vox10_1170.ply;success;794885;7134.626;8.060;7160.432;17271113;12718160
loot_vox10_1171.ply;success;788905;7130.447;6.162;7154.238;17139052;12622480
loot_vox10_1172.ply;success;787376;7071.883;17.660;7108.357;17105695;12598016
loot_vox10_1173.ply;success;791921;7103.434;5.839;7127.281;17210266;12670736
loot_vox10_1174.ply;success;785044;7132.006;7.835;7157.621;17059297;12560704
loot_vox10_1175.ply;success;785759;6999.012;5.743;7021.966;17068718;12572144
loot_vox10_1176.ply;success;782963;7059.028;15.733;7093.810;16999280;12527408
loot_vox10_1177.ply;success;783666;7094.959;16.102;7132.390;17007565;12538656
loot_vox10_1178.ply;success;786714;7027.958;7.726;7053.033;17072641;12587424
loot_vox10_1179.ply;success;787583;7023.220;13.102;7057.959;17091760;12601328
loot_vox10_1180.ply;success;793719;7016.264;7.370;7041.373;17229680;12699504
loot_vox10_1181.ply;success;792329;6944.334;4.788;6971.001;17207877;12677264
loot_vox10_1182.ply;success;801464;7227.925;9.162;7251.349;17415110;12823424
loot_vox10_1183.ply;success;796948;7213.218;5.231;7236.506;17321221;12751168
loot_vox10_1184.ply;success;802598;7140.417;5.284;7164.483;17449872;12841568
loot_vox10_1185.ply;success;797039;7132.523;8.534;7159.021;17329606;12752624
loot_vox10_1186.ply;success;797511;7548.683;8.583;7571.951;17344487;12760176
loot_vox10_1187.ply;success;794879;7048.847;5.108;7072.038;17296650;12718064
loot_vox10_1188.ply;success;793590;7072.660;5.876;7096.529;17280711;12697440
loot_vox10_1189.ply;success;788938;6997.682;26.480;7041.886;17183027;12623008
loot_vox10_1190.ply;success;784846;7003.355;5.252;7026.780;17097301;12557536
loot_vox10_1191.ply;success;788004;7150.895;16.571;7190.560;17165421;12608064
loot_vox10_1192.ply;success;795964;7122.822;15.997;7158.294;17337065;12735424
loot_vox10_1193.ply;success;799207;7090.318;19.923;7125.080;17413551;12787312
loot_vox10_1194.ply;success;799402;7156.509;15.894;7192.767;17418408;12790432
loot_vox10_1195.ply;success;800483;7095.629;9.625;7121.976;17442012;12807728
loot_vox10_1196.ply;success;798336;7162.168;9.626;7190.614;17395138;12773376
loot_vox10_1197.ply;success;798454;7104.410;9.037;7132.845;17398540;12775264
loot_vox10_1198.ply;success;800770;7122.131;6.719;7148.992;17450496;12812320
loot_vox10_1199.ply;success;802378;7357.461;5.527;7384.810;17485648;12838048
loot_vox10_1200.ply;success;805285;7319.978;7.859;7352.001;17543324;12884560
loot_vox10_1201.ply;success;803318;7201.109;17.342;7242.875;17493129;12853088
loot_vox10_1202.ply;success;802036;7277.354;8.704;7307.346;17460017;12832576
loot_vox10_1203.ply;success;810228;7776.234;11.447;7814.265;17628006;12963648
loot_vox10_1204.ply;success;808185;7199.207;13.305;7231.395;17580671;12930960
loot_vox10_1205.ply;success;815223;7355.962;7.943;7382.480;17742859;13043568
loot_vox10_1206.ply;success;799426;7864.261;5.404;7888.750;17397968;12790816
loot_vox10_1207.ply;success;790320;8158.258;6.787;8182.904;17200708;12645120
loot_vox10_1208.ply;success;795945;7581.742;7.825;7608.144;17326657;12735120
loot_vox10_1209.ply;success;792891;6867.303;5.192;6894.196;17260331;12686256
loot_vox10_1210.ply;success;797320;7199.869;8.400;7226.103;17363332;12757120
loot_vox10_1211.ply;success;805214;7081.400;5.604;7106.765;17536009;12883424
loot_vox10_1212.ply;success;797126;7289.492;5.202;7312.154;17357385;12754016
loot_vox10_1213.ply;success;803136;7002.441;18.534;7045.411;17488080;12850176
loot_vox10_1214.ply;success;809297;9491.167;16.005;9526.648;17624009;12948752
loot_vox10_1215.ply;success;808156;7996.481;7.138;8022.931;17602682;12930496
loot_vox10_1216.ply;success;810355;7302.132;18.030;7339.748;17649265;12965680
loot_vox10_1217.ply;success;810211;7749.209;4.290;7772.433;17642179;12963376
loot_vox10_1218.ply;success;808645;8577.350;8.370;8612.605;17605633;12938320
loot_vox10_1219.ply;success;810783;10640.475;12.219;10680.314;17650927;12972528
loot_vox10_1220.ply;success;807088;11313.107;8.726;11349.992;17579818;12913408
loot_vox10_1221.ply;success;809369;11529.997;8.634;11571.345;17626999;12949904
loot_vox10_1222.ply;success;795354;11489.142;10.075;11530.401;17322275;12725664
loot_vox10_1223.ply;success;795455;6357.578;4.305;6378.234;17328568;12727280
loot_vox10_1224.ply;success;795720;5525.692;10.720;5549.255;17334772;12731520
loot_vox10_1225.ply;success;798723;7258.304;10.334;7282.338;17401636;12779568
loot_vox10_1226.ply;success;807441;5525.014;10.792;5547.587;17590114;12919056
loot_vox10_1227.ply;success;803316;5391.367;4.290;5407.918;17502697;12853056
loot_vox10_1228.ply;success;809074;5593.195;11.231;5618.920;17622435;12945184
loot_vox10_1229.ply;success;808265;5281.729;4.446;5299.432;17605237;12932240
loot_vox10_1230.ply;success;818848;5254.794;5.676;5274.398;17839413;13101568
loot_vox10_1231.ply;success;820617;5505.497;4.054;5520.841;17874342;13129872
loot_vox10_1232.ply;success;814146;5084.508;11.112;5108.472;17733079;13026336
loot_vox10_1233.ply;success;814852;5786.739;6.292;5807.130;17741108;13037632
loot_vox10_1234.ply;success;815725;6494.517;9.275;6531.736;17756234;13051600
loot_vox10_1235.ply;success;816078;5235.069;4.400;5253.252;17768379;13057248
loot_vox10_1236.ply;success;810868;5368.597;4.279;5385.560;17651506;12973888
loot_vox10_1237.ply;success;801907;5079.371;4.070;5098.715;17456731;12830512
loot_vox10_1238.ply;success;799196;5000.367;4.155;5016.835;17403432;12787136
loot_vox10_1239.ply;success;799621;5397.004;4.453;5412.890;17410898;12793936
loot_vox10_1240.ply;success;808174;5245.328;4.456;5262.146;17600018;12930784
loot_vox10_1241.ply;success;810609;5193.514;4.238;5210.489;17653307;12969744
loot_vox10_1242.ply;success;809086;5471.591;4.402;5488.590;17624218;12945376
loot_vox10_1243.ply;success;804105;5127.918;4.231;5145.933;17507233;12865680
loot_vox10_1244.ply;success;810243;5264.078;10.871;5290.293;17641807;12963888
loot_vox10_1245.ply;success;808451;5373.796;10.574;5399.743;17604695;12935216
loot_vox10_1246.ply;success;818595;6161.808;4.131;6179.766;17830178;13097520
loot_vox10_1247.ply;success;813416;10669.991;16.516;10733.683;17721772;13014656
loot_vox10_1248.ply;success;816251;6144.188;4.279;6165.915;17768359;13060016
loot_vox10_1249.ply;success;820584;5171.007;4.339;5189.256;17861705;13129344
loot_vox10_1250.ply;success;817535;5161.348;4.510;5179.667;17794959;13080560
loot_vox10_1251.ply;success;812707;5077.976;5.153;5099.684;17691764;13003312
loot_vox10_1252.ply;success;811017;6107.201;5.247;6128.306;17662707;12976272
loot_vox10_1253.ply;success;812416;6851.259;6.301;6879.872;17695398;12998656
loot_vox10_1254.ply;success;815874;10420.792;5.371;10440.765;17773689;13053984
loot_vox10_1255.ply;success;811813;9818.149;15.315;9887.557;17685487;12989008
loot_vox10_1256.ply;success;809323;6432.302;4.306;6450.383;17630453;12949168
loot_vox10_1257.ply;success;806066;5372.522;4.442;5389.261;17567912;12897056
loot_vox10_1258.ply;success;803994;6967.363;13.139;7044.540;17523772;12863904
loot_vox10_1259.ply;success;804675;9678.131;5.408;9696.549;17541583;12874800
loot_vox10_1260.ply;success;803023;6956.029;4.599;6972.981;17509550;12848368
loot_vox10_1261.ply;success;804900;6486.801;11.244;6547.606;17553742;12878400
loot_vox10_1262.ply;success;801032;10195.150;4.203;10213.488;17469131;12816512
loot_vox10_1263.ply;success;793638;7129.416;6.505;7152.775;17298099;12698208
loot_vox10_1264.ply;success;801156;5958.503;5.249;5981.214;17465069;12818496
loot_vox10_1265.ply;success;804749;12502.118;5.858;12527.855;17526326;12875984
loot_vox10_1266.ply;success;805449;10435.178;9.989;10479.871;17531273;12887184
loot_vox10_1267.ply;success;805329;9573.654;3.939;9592.056;17526206;12885264
loot_vox10_1268.ply;success;805419;7881.326;4.053;7900.216;17540244;12886704
loot_vox10_1269.ply;success;804474;6969.900;6.969;6992.426;17520839;12871584
loot_vox10_1270.ply;success;796101;9527.677;7.265;9547.179;17336572;12737616
loot_vox10_1271.ply;success;805073;9479.358;12.155;9505.203;17522764;12881168
loot_vox10_1272.ply;success;797204;8086.254;62.833;8181.148;17352269;12755264
loot_vox10_1273.ply;success;805139;7652.923;3.999;7670.159;17527541;12882224
loot_vox10_1274.ply;success;808073;8972.187;41.839;9058.156;17591143;12929168
loot_vox10_1275.ply;success;813584;11316.610;10.452;11340.428;17713526;13017344
loot_vox10_1276.ply;success;812306;5287.265;4.220;5305.044;17683205;12996896
loot_vox10_1277.ply;success;817500;5874.350;4.339;5892.647;17795981;13080000
loot_vox10_1278.ply;success;824803;5489.257;4.318;5506.354;17954245;13196848
loot_vox10_1279.ply;success;813944;5300.833;4.286;5317.444;17711849;13023104
loot_vox10_1280.ply;success;815307;5306.799;4.114;5330.069;17732742;13044912
loot_vox10_1281.ply;success;816329;5608.171;4.507;5624.882;17756842;13061264
loot_vox10_1282.ply;success;813249;5527.621;4.278;5545.099;17693986;13011984
loot_vox10_1283.ply;success;809333;5403.435;5.187;5420.596;17609546;12949328
loot_vox10_1284.ply;success;815482;5174.715;8.790;5208.646;17750364;13047712
loot_vox10_1285.ply;success;814633;5176.103;4.338;5193.718;17729625;13034128
loot_vox10_1286.ply;success;814941;6092.904;4.259;6109.657;17736231;13039056
loot_vox10_1287.ply;success;818847;5620.493;4.280;5637.365;17817949;13101552
loot_vox10_1288.ply;success;824052;5388.760;4.226;5404.215;17928154;13184832
loot_vox10_1289.ply;success;835458;7153.457;13.240;7181.167;18178866;13367328
loot_vox10_1290.ply;success;819605;5562.241;10.791;5584.356;17832037;13113680
loot_vox10_1291.ply;success;827799;5464.247;4.597;5482.638;18020812;13244784
loot_vox10_1292.ply;success;830771;5580.528;4.239;5598.489;18086316;13292336
loot_vox10_1293.ply;success;835004;7240.895;4.508;7259.353;18178862;13360064
loot_vox10_1294.ply;success;814967;5512.879;10.801;5539.051;17742909;13039472
loot_vox10_1295.ply;success;818656;5449.813;4.311;5467.401;17822830;13098496
loot_vox10_1296.ply;success;819807;8664.075;10.059;8690.318;17855636;13116912
loot_vox10_1297.ply;success;814766;8356.636;4.201;8374.344;17749443;13036256
loot_vox10_1298.ply;success;809259;5340.402;4.444;5359.300;17631663;12948144
loot_vox10_1299.ply;success;812212;6219.274;5.445;6237.482;17703923;12995392
