frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
23;1;1;1;0.000000;0.000000;1.000000;2432.535709;2432.649595;2432.776683;778907;26132;138240;20;3456;26132;28452;100.000;0.774;0.840;530.854;608.809;6.828;155826;148511;138240;0.182;0.106;0.065;2.052;2.238;0.528;41.761;39.459;127.025;127.088;124.832;32.860;31.610;1.394;0.231;0.074;113.887;240.975;175.115;41.704;8.371;3.564;0.000;0.063;0.000;19;37.472;122.716;2;0;0;0;0;0;0;0
24;1;1;1;0.000000;0.000000;1.000000;2432.569938;2432.683545;2432.814344;779289;23876;138556;19;3464;23876;26080;100.000;0.872;0.949;532.068;610.203;6.259;155133;147900;138556;0.185;0.108;0.066;2.360;2.312;0.697;41.947;39.569;130.757;130.799;128.470;32.070;30.801;1.682;0.225;0.095;113.607;244.406;179.442;33.950;0.616;3.380;0.000;0.041;0.000;13;37.275;126.066;4;0;0;0;0;0;0;0
25;1;1;1;0.000000;0.000000;1.000000;2432.602106;2432.711098;2432.839562;779739;25192;138952;20;3474;25192;27512;100.000;0.648;0.706;533.588;611.949;6.603;154951;148061;138952;0.233;0.112;0.067;3.611;2.015;0.553;29.885;27.804;128.438;128.463;126.430;23.264;21.991;2.654;0.183;0.364;108.993;237.456;171.327;27.553;5.780;3.530;0.000;0.025;0.000;10;24.259;122.792;4;0;0;0;0;0;0;0
26;1;1;1;0.000000;0.000000;1.000000;2432.636641;2432.750158;2432.878247;779364;26320;139454;20;3487;26320;28640;100.000;467.661;507.188;535.516;614.170;6.874;155091;148214;139454;0.180;0.108;0.063;2.348;2.087;0.534;44.309;42.159;128.043;128.089;125.985;34.593;33.464;1.706;0.213;0.078;113.517;241.606;176.679;39.060;5.726;3.667;0.000;0.046;0.000;18;39.875;123.590;2;0;0;0;0;0;0;0
27;1;1;1;0.000000;0.000000;1.000000;2432.670990;2432.783672;2432.914064;780025;26320;140520;20;3513;26320;28640;100.000;1.004;1.088;539.609;618.850;6.874;155666;148911;140520;0.178;0.105;0.062;2.341;2.292;0.709;40.244;37.890;129.097;130.392;128.079;30.864;29.583;1.581;0.278;0.136;112.682;243.074;179.163;33.514;0.181;3.449;0.000;1.295;0.001;19;35.612;124.441;2;0;0;0;0;0;0;0
28;1;1;1;0.000000;0.000000;1.000000;2432.701823;2432.810144;2432.939191;780373;26508;141820;21;3546;26508;28944;100.000;0.663;0.721;544.601;624.587;6.947;156450;150058;141820;0.228;0.115;0.069;2.598;2.486;0.788;29.749;27.194;128.999;129.047;126.534;23.052;21.492;1.738;0.309;0.140;108.321;237.368;170.956;26.471;6.862;3.663;0.000;0.048;0.000;20;24.665;123.886;2;0;0;0;0;0;0;0
29;1;1;1;0.000000;0.000000;1.000000;2432.737131;2432.850372;2432.978730;781651;27824;143812;22;3596;27824;30376;100.000;0.831;0.904;552.251;633.364;7.290;158178;151821;143812;0.186;0.108;0.065;2.364;2.339;0.623;44.613;42.209;128.307;128.357;125.996;34.757;33.501;1.652;0.249;0.105;113.242;241.599;177.161;40.228;6.895;3.865;0.000;0.051;0.000;21;39.910;123.569;2;0;0;0;0;0;0;0
30;1;1;1;0.000000;0.000000;1.000000;2432.770638;2432.884023;2433.015988;781375;26696;144756;21;3619;26696;29132;100.000;0.974;1.060;555.876;637.508;6.992;158959;152458;144756;0.182;0.106;0.066;2.580;2.169;0.575;41.960;39.726;131.915;131.964;129.776;31.797;30.611;1.831;0.262;0.133;113.385;245.350;181.086;33.651;0.318;3.643;0.000;0.049;0.000;19;37.212;127.145;2;0;0;0;0;0;0;0
31;1;1;1;0.000000;0.000000;1.000000;2432.801603;2432.911615;2433.040912;784392;130660;143948;100;3599;130660;142260;100.000;3.361;3.657;552.773;633.954;34.142;176776;155937;143948;0.232;0.113;0.070;2.600;2.211;0.794;29.656;27.375;129.243;129.297;127.053;22.936;21.546;1.717;0.315;0.153;110.012;239.309;172.677;27.592;5.741;3.774;0.000;0.054;0.001;36;24.845;124.397;5;0;0;0;0;0;0;0
32;1;1;1;0.000000;0.000000;1.000000;2432.836768;2432.950616;2433.080623;782671;29140;141972;23;3550;29140;31808;100.000;0.861;0.937;545.185;625.260;7.634;167802;154013;141972;0.180;0.105;0.066;2.545;2.105;0.577;44.532;42.362;129.973;130.007;127.884;34.253;33.125;1.882;0.200;0.113;113.849;243.856;179.055;39.001;5.668;3.892;0.000;0.034;0.000;15;39.882;125.302;4;0;0;0;0;0;0;0
