frame_id;rx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;arrived_points;eroded_points;valid_points;rx_points;rx_packets;payload_bytes;data_integrity_pct;internal_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;arrival_pct;erosion_pct;valid_pct;web_publish_ms;web_ack_ms;active_process_ms;total_residency_ms;node_efficiency_pct;camera_node_ms;e2e_latency_ms;reference_e2e_ms;schedule_delay_ms;instant_jitter_ms;desynced_jitter_ms;cmd_id;reference_cmd_ms;cmd_apply_ms;cmd_photon_ms;quality_save_ms;mean_error;geom_rmse;chamfer;hausdorff;mean_mm;rmse_mm;chamfer_mm;hausdorff_mm
239;1;1;0.000000;-0.349066;1.000000;3279.409503;3279.653839;3279.656517;799196;162973;155903;148264;148264;1854;2372224;100.000;886.540;569.346;611.160;20.392;95.662;18.552;0.001;103.187;1.958;2.678;73.107;244.336;247.014;247.012;13.307;0.534;3.829;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
240;1;1;0.000000;-0.349066;1.000000;3279.441763;3279.688977;3279.703209;799621;161351;154300;146996;146996;1838;2351936;100.000;165.266;564.477;605.930;20.178;95.630;18.383;0.000;0.000;8.639;14.232;60.702;247.214;261.446;261.446;15.112;1.805;3.702;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
241;1;1;0.000000;-0.349066;1.000000;3279.475870;3279.726607;3279.732384;808174;182380;158734;146062;146062;1826;2336992;100.000;404.724;560.891;602.073;22.567;87.035;18.073;0.000;0.000;5.022;5.776;86.937;250.737;256.514;256.512;19.409;4.297;3.739;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
242;1;1;0.000000;-0.436332;1.000000;3279.510902;3279.759679;3279.761703;810609;172864;157729;145468;145468;1819;2327488;100.000;1151.267;558.610;599.634;21.325;91.245;17.946;0.000;71.102;1.493;2.024;73.773;248.777;250.800;250.798;19.147;0.262;3.522;43;22.154;51.473;148.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
243;1;1;0.000000;-0.436332;1.000000;3279.542825;3279.780575;3279.782092;809086;170582;157422;145086;145086;1814;2321376;100.000;1530.758;557.143;598.054;21.083;92.285;17.932;0.000;0.000;0.674;1.517;44.424;237.750;239.268;239.267;6.710;12.437;4.079;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
244;1;1;0.000000;-0.436332;1.000000;3279.575089;3279.817770;3279.826577;804105;169753;157602;145538;145538;1820;2328608;100.000;264.421;558.878;599.925;21.111;92.842;18.099;0.000;124.778;8.170;8.808;92.762;242.681;251.488;251.487;10.572;3.861;4.066;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
245;1;1;0.000000;-0.436332;1.000000;3279.609136;3279.859701;3279.867219;810243;168732;157448;146056;146056;1826;2336896;100.000;310.902;560.868;602.050;20.825;93.312;18.026;0.000;0.000;1.429;7.518;19.015;250.565;258.083;258.082;19.170;8.598;4.349;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
246;1;1;0.000000;-0.436332;1.000000;3279.643746;3279.888916;3279.890738;808451;169024;158383;146718;146718;1834;2347488;100.000;1289.788;563.410;604.772;20.907;93.704;18.148;0.000;0.000;1.317;1.822;72.266;245.170;246.993;246.990;15.051;4.119;4.335;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
247;1;1;0.000000;-0.523599;1.000000;3279.676688;3279.910927;3279.912511;818595;169057;159977;147758;147758;1847;2364128;100.000;1493.868;567.403;609.059;20.652;94.629;18.050;0.000;0.000;0.996;1.584;62.893;234.239;235.823;235.822;3.729;11.322;4.771;44;17.106;38.880;186.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
248;1;1;0.000000;-0.523599;1.000000;3279.708841;3279.951010;3279.955539;813416;169566;161568;149576;149576;1870;2393216;100.000;528.721;574.384;616.559;20.846;95.283;18.389;0.001;83.391;3.864;4.528;85.338;242.169;246.697;246.696;10.479;6.750;4.895;0;0.000;0.000;0.000;0.000;nan;nan;nan;nan;nan;nan;nan;nan
