frame_id;rx_complete;tx_complete;current_skip;event;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;codec_exit_time;node_exit_timestamp;original_points;rx_points;processed_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;conversion_ms;geometry_aggregation_ms;max_r_ms;projection_ms;codec_write_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_kernel_ms;gpu_packing_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;reference_jitter_ms;raw_queue_ms;render_queue_ms;workload_ewma_ms;workload_ratio;frame_backlog;codec_backlog;encode_service_ms;encode_h265_ms;mse_y;psnr_y;ssim_y;mpeg_bytes_generated;ffmpeg_write_calls;ffmpeg_write_eagain;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
23;1;1;1;IDLE;0.000;0.000;1.000;2432.535709;2432.539164;2432.627751;2432.683462;778907;778907;778907;19473;20;12462512;12462552;100.000;649.796;649.796;6.293;6.896;2991.012;2.727;0.000;0.000;6.404;39.319;0.002;48.451;48.451;125.118;144.297;88.587;33.577;54.693;2.816;0.745;0.438;2.368;0.037;3.455;147.753;146.322;33.911;0.578;0.905;0.578;0.003;23.680;6.149;0.184;0;3;61.043;61.045;nan;nan;nan;26132;1;0;0;0;0;0;0
24;1;1;1;IDLE;0.000;0.000;1.000;2432.569938;2432.573186;2432.664933;2432.710994;779289;779289;779289;19483;19;12468624;12468664;100.000;585.133;585.133;5.751;6.323;2992.479;2.808;0.000;0.000;5.335;37.181;0.002;45.324;45.324;116.499;137.809;91.747;32.889;49.401;2.361;0.770;0.460;1.713;0.032;3.248;141.056;140.522;34.022;0.688;0.891;0.688;0.003;27.917;5.949;0.178;0;3;55.705;55.707;nan;nan;nan;23876;1;0;0;0;0;0;0
25;1;1;1;IDLE;0.000;0.000;1.000;2432.602106;2432.605368;2432.691843;2432.750063;779739;779739;779739;19494;20;12475824;12475864;100.000;581.309;581.309;6.067;6.670;2994.207;3.139;0.000;0.000;6.382;26.909;0.001;36.430;36.430;123.233;144.695;86.475;25.177;42.127;3.177;0.740;0.437;1.987;0.040;3.262;147.957;146.257;32.182;1.151;0.908;1.151;0.003;31.718;6.062;0.182;0;3;46.052;46.058;nan;nan;nan;25192;1;0;0;0;0;0;0
26;1;1;1;IDLE;0.000;0.000;1.000;2432.636641;2432.640122;2432.730261;2432.750107;779364;779364;779364;19485;20;12469824;12469864;100.000;711.579;711.579;6.338;6.941;2992.767;2.761;0.000;0.000;5.765;38.417;0.001;46.942;46.942;92.461;109.985;90.139;42.681;52.078;2.752;0.745;0.434;1.804;0.029;3.481;113.466;112.968;34.754;1.421;0.940;1.421;0.003;28.429;5.990;0.180;0;3;58.213;58.215;nan;nan;nan;26320;1;0;0;0;0;0;0
27;1;1;1;IDLE;0.000;0.000;1.000;2432.670990;2432.674170;2432.765139;2432.809978;780025;780025;780025;19501;20;12480400;12480440;100.000;592.509;592.509;6.338;6.941;2995.306;2.745;0.000;0.000;7.645;34.876;0.003;45.266;45.266;114.744;135.808;90.969;33.331;49.759;4.687;0.759;0.451;1.706;0.041;3.179;138.988;139.506;34.048;0.714;0.926;0.714;0.003;27.380;6.406;0.192;0;3;53.255;53.258;nan;nan;nan;26320;1;0;0;0;0;0;0
28;1;1;1;IDLE;0.000;0.000;1.000;2432.701823;2432.705730;2432.790715;2432.850271;780373;780373;780373;19510;21;12485968;12486008;100.000;608.947;608.947;6.383;7.017;2996.642;2.904;0.000;0.000;5.454;25.575;0.001;33.933;33.933;124.037;144.542;84.985;23.476;39.929;2.510;0.741;0.444;1.723;0.036;3.907;148.448;146.466;31.560;1.773;0.979;1.773;0.003;33.447;6.171;0.185;0;3;44.831;44.836;nan;nan;nan;26508;1;0;0;0;0;0;0
29;1;1;1;IDLE;0.000;0.000;1.000;2432.737131;2432.740616;2432.829694;2432.883973;781651;781651;781651;19542;22;12506416;12506456;100.000;724.980;724.980;6.699;7.364;3001.549;2.772;0.000;0.000;5.445;38.979;0.001;47.196;47.196;126.107;143.358;89.079;32.922;52.982;2.744;0.743;0.437;1.492;0.029;3.485;146.843;146.834;34.886;1.552;1.014;1.552;0.011;27.392;5.991;0.180;0;3;59.553;59.554;nan;nan;nan;27824;1;0;0;0;0;0;0
30;1;1;1;IDLE;0.000;0.000;1.000;2432.770638;2432.773873;2432.865310;2432.911490;781375;781375;781375;19535;21;12502000;12502040;100.000;600.629;600.629;6.428;7.062;3000.490;2.857;0.000;0.000;7.145;35.614;0.002;45.616;45.616;116.802;137.617;91.437;33.147;49.888;3.963;0.777;0.464;1.904;0.037;3.235;140.852;141.018;33.258;0.076;0.956;0.076;0.003;27.859;6.282;0.188;0;3;54.274;54.275;nan;nan;nan;26696;1;0;0;0;0;0;0
31;1;1;1;IDLE;0.000;0.000;1.000;2432.801603;2432.804974;2432.891288;2432.950506;784392;784392;784392;19610;100;12550272;12550312;100.000;606.307;606.307;31.380;34.478;3012.075;2.985;0.000;0.000;5.549;25.975;0.005;34.509;34.509;124.833;145.532;86.314;23.712;39.981;2.556;0.754;0.440;1.762;0.036;3.371;148.903;146.700;31.101;2.233;1.036;2.233;0.004;34.085;6.102;0.183;0;3;46.171;46.176;nan;nan;nan;130660;1;0;0;0;0;0;0
32;1;1;1;IDLE;0.000;0.000;1.000;2432.836768;2432.840398;2432.931260;2432.984558;782671;782671;782671;19567;23;12522736;12522776;100.000;757.871;757.871;7.015;7.711;3005.466;2.686;0.000;0.000;5.972;39.970;0.001;48.627;48.627;127.636;144.160;90.861;33.732;53.518;3.045;0.790;0.441;1.666;0.030;3.631;147.790;147.419;35.425;2.091;1.102;2.091;0.003;28.392;6.071;0.182;0;3;59.211;59.214;nan;nan;nan;29140;1;0;0;0;0;0;0
