frame_id;rx_complete;tx_complete;current_skip;yaw;pitch;zoom;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_media_bytes;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;arrived_points;eroded_points;valid_points;erosion_ms;reconstruction_ms;pose_ms;reconstruction_pipeline_ms;tx_duration_ms;active_tx_ms;active_process_ms;reference_process_ms;total_processing_ms;total_residency_ms;reference_residency_ms;node_efficiency_pct;reference_efficiency_pct;gpu_transfer_ms;gpu_copyback_ms;host_overhead_ms;camera_node_ms;e2e_latency_ms;schedule_delay_ms;inter_arrival_ms;instant_jitter_ms;desynced_jitter_ms;pose_control_ms;codec_queue_ms;frame_queue_ms;codec_backlog;decode_service_ms;decode_h265_ms;ffmpeg_write_calls;ffmpeg_write_failures;codec_queue_drops;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets;mbuf_starvation
41;1;1;1;0.000000;0.000000;1.000000;3117.142878;3117.205892;3117.337780;789479;31208;146416;24;1831;31208;33992;100.000;0.917;0.996;562.250;603.545;8.158;161458;154259;146416;0.186;0.109;0.070;2.208;1.622;0.097;34.902;33.210;131.852;131.888;130.243;26.463;25.499;1.441;0.296;0.108;63.013;194.902;108.361;32.204;1.129;1.219;0.000;0.037;0.000;15;31.072;127.996;3;0;0;0;0;0;0;0
42;1;1;1;0.000000;0.000000;1.000000;3117.175574;3117.240100;3117.374200;789348;31772;148106;25;1852;31772;34672;100.000;0.972;1.058;568.740;610.508;8.321;163190;156459;148106;0.192;0.111;0.069;2.507;1.831;0.503;40.245;38.345;134.058;134.100;132.242;30.011;28.996;1.618;0.194;0.323;64.526;198.626;111.447;34.208;0.875;1.197;0.000;0.042;0.000;23;35.906;129.691;2;0;0;0;0;0;0;0
43;1;1;1;0.000000;0.000000;1.000000;3117.209430;3117.272927;3117.404959;792714;31772;149298;25;1867;31772;34672;100.000;0.992;1.080;573.317;615.424;8.321;164183;157597;149298;0.192;0.110;0.068;2.519;1.236;0.073;35.090;33.787;131.968;132.032;130.765;26.577;25.838;1.719;0.315;0.116;63.498;195.529;108.874;32.828;0.506;1.154;0.000;0.064;0.000;26;31.336;128.181;2;0;0;0;0;0;0;0
44;1;1;1;0.000000;0.000000;1.000000;3117.242427;3117.305080;3117.441388;790865;31960;150365;25;1880;31960;34860;100.000;0.915;0.995;577.414;619.814;8.366;165393;158411;150365;0.219;0.109;0.067;4.494;1.892;0.493;40.183;38.224;136.282;136.308;134.387;29.480;28.443;1.595;1.220;1.285;62.653;198.961;111.969;32.152;1.181;1.156;0.000;0.026;0.000;15;33.797;129.866;4;0;0;0;0;0;0;0
45;1;1;1;0.000000;0.000000;1.000000;3117.275804;3117.340200;3117.475104;787976;32148;151606;25;1896;32148;35048;100.000;0.998;1.085;582.180;624.941;8.412;166115;159428;151606;0.186;0.113;0.074;2.787;1.320;0.078;40.105;38.711;134.870;134.903;133.561;29.729;28.984;1.504;0.207;0.704;64.396;199.300;112.351;35.121;1.787;1.195;0.000;0.034;0.000;19;35.998;130.738;3;0;0;0;0;0;0;0
46;1;1;1;0.000000;0.000000;1.000000;3117.309313;3117.372576;3117.508277;789717;145888;151650;111;1896;145888;158764;100.000;4.287;4.663;582.348;625.110;38.103;188890;165163;151650;0.188;0.109;0.068;4.541;1.657;0.095;37.272;35.548;135.679;135.701;134.016;27.466;26.525;1.646;1.229;1.303;63.262;198.964;112.191;32.375;0.958;1.180;0.000;0.022;0.000;102;31.074;129.451;5;0;0;0;0;0;0;0
47;1;1;1;0.000000;0.000000;1.000000;3117.342304;3117.406703;3117.541854;784950;29704;150558;23;1882;29704;32372;100.000;0.895;0.972;578.155;620.601;7.769;179115;163191;150558;0.200;0.106;0.068;4.625;2.154;0.585;39.774;37.553;135.098;135.151;132.972;29.429;28.241;1.679;1.226;1.345;64.398;199.550;112.435;34.127;0.794;1.156;0.000;0.053;0.000;22;32.996;128.292;2;0;0;0;0;0;0;0
48;1;1;1;0.000000;0.000000;1.000000;3117.376231;3117.440096;3117.572792;781130;24628;148538;19;1857;24628;26832;100.000;0.739;0.802;570.398;612.280;6.440;174491;161518;148538;0.191;0.113;0.072;2.418;1.023;0.067;37.714;36.620;132.657;132.696;131.649;28.421;27.816;1.604;0.312;0.126;63.865;196.561;110.040;33.394;0.060;1.088;0.000;0.039;0.000;18;34.274;129.190;2;0;0;0;0;0;0;0
49;1;1;1;0.000000;0.000000;1.000000;3117.409364;3117.473626;3117.606014;780468;24816;147276;19;1841;24816;27020;100.000;0.743;0.806;565.552;607.073;6.485;169683;158314;147276;0.199;0.111;0.070;2.831;1.459;0.447;36.658;35.129;132.352;132.388;130.903;27.690;26.836;1.476;0.194;0.782;64.261;196.649;109.928;33.529;0.196;1.032;0.000;0.036;0.000;9;32.368;128.035;4;0;0;0;0;0;0;0
50;1;1;1;0.000000;0.000000;1.000000;3117.443445;3117.507226;3117.637888;783376;24816;146748;19;1835;24816;27020;100.000;0.754;0.819;563.525;604.910;6.485;166714;156688;146748;0.194;0.111;0.068;2.497;1.157;0.074;36.142;34.918;130.642;130.662;129.474;27.661;26.969;1.729;0.291;0.104;63.781;194.443;108.469;33.601;0.267;0.984;0.000;0.020;0.000;9;32.489;126.941;3;0;0;0;0;0;0;0
51;1;1;1;0.000000;0.000000;1.000000;3117.476088;3117.540240;3117.672096;787237;29516;145970;23;1825;29516;32184;100.000;0.860;0.935;560.537;601.697;7.724;163927;154647;145970;0.194;0.111;0.069;2.306;1.419;0.371;37.862;36.374;131.809;131.856;130.411;28.715;27.892;1.634;0.193;0.106;64.153;196.008;109.344;33.014;0.319;0.943;0.000;0.047;0.000;21;34.136;128.055;3;0;0;0;0;0;0;0
52;1;1;1;0.000000;0.000000;1.000000;3117.509662;3117.574766;3117.705235;787734;31020;147302;24;1842;31020;33804;100.000;0.998;1.084;565.652;607.195;8.113;163921;154970;147302;0.197;0.112;0.070;2.884;1.178;0.069;36.866;35.619;130.177;130.470;129.272;28.257;27.553;2.176;0.192;0.139;65.104;195.574;109.150;34.526;1.192;0.958;0.000;0.292;0.000;24;32.804;126.092;2;0;0;0;0;0;0;0
53;1;1;1;0.000000;0.000000;1.000000;3117.543468;3117.606044;3117.741247;787059;31584;148046;24;1851;31584;34368;100.000;539.508;585.433;568.509;610.255;8.248;163880;155377;148046;0.194;0.110;0.070;4.575;1.876;0.511;40.055;38.110;135.158;135.204;133.293;29.625;28.591;1.631;1.220;1.351;62.575;197.779;111.828;31.278;2.055;1.027;0.000;0.046;0.000;17;33.604;128.669;2;0;0;0;0;0;0;0
54;1;1;1;0.000000;0.000000;1.000000;3117.576047;3117.639808;3117.772486;786051;31020;148712;24;1859;31020;33804;100.000;0.930;1.010;571.067;612.993;8.113;163752;156015;148712;0.198;0.111;0.069;2.450;1.224;0.068;37.697;36.404;132.658;132.679;131.431;28.412;27.698;1.740;0.228;0.105;63.760;196.439;109.734;33.764;0.431;0.990;0.000;0.020;0.000;18;34.023;128.959;3;0;0;0;0;0;0;0
55;1;1;1;0.000000;0.000000;1.000000;3117.609281;3117.673355;3117.805740;796213;30080;148706;23;1859;30080;32748;100.000;0.908;0.986;571.044;612.970;7.860;163350;156198;148706;0.197;0.111;0.070;2.542;1.342;0.315;36.932;35.521;132.333;132.385;131.026;27.898;27.110;1.617;0.194;0.353;64.074;196.459;109.655;33.548;0.214;0.941;0.000;0.052;0.000;22;33.049;128.432;2;0;0;0;0;0;0;0
56;1;1;1;0.000000;0.000000;1.000000;3117.642340;3117.706653;3117.840230;790191;29892;148654;23;1859;29892;32560;100.000;0.904;0.981;570.844;612.770;7.814;162711;155789;148654;0.189;0.110;0.068;2.802;1.257;0.074;38.364;37.039;133.548;133.577;132.296;28.720;27.997;1.479;0.203;0.754;64.313;197.890;110.811;33.297;0.036;0.885;0.000;0.029;0.000;11;34.305;129.464;4;0;0;0;0;0;0;0
