frame_id;rx_complete;tx_complete;current_skip;camera_send_timestamp;recv_start_timestamp;node_exit_timestamp;original_points;rx_points;tx_points;rx_packets;tx_packets;payload_bytes;reference_size_bytes;data_integrity_pct;internal_throughput_mbs;reference_throughput_mbs;logical_bitrate_mbps;network_bitrate_mbps;reference_bitrate_mbps;tx_duration_ms;active_tx_ms;active_process_ms;geometry_aggregation_ms;max_r_ms;cycle_ms;header_wait_ms;total_residency_ms;node_efficiency_pct;cycle_occupancy_pct;camera_node_ms;schedule_delay_ms;instant_jitter_ms;desynced_jitter_ms;eth_errors;ipv4_errors;udp_errors;nsh_errors;tx_zero_accepts;tx_partial_accepts;tx_resubmit_calls;tx_resubmitted_packets
150;1;1;1;6061.391911;6061.395762;6061.413145;796693;796693;796693;9959;9959;12747088;12747128;100.000;1032.815;733.316;3059.311;3436.946;3059.311;17.362;1.775;11.248;5.955;2.836;33.293;15.910;17.383;64.706;52.212;3.851;19.335;0.732;0.663;0;0;0;0;0;0;0;0
151;1;1;1;6061.425540;6061.429753;6061.446147;794717;794717;794717;9934;9934;12715472;12715512;100.000;1118.850;775.620;3051.723;3428.411;3051.723;16.378;1.246;10.597;5.932;2.813;33.002;16.608;16.394;64.638;49.676;4.213;19.004;0.658;0.662;0;0;0;0;0;0;0;0
152;1;1;1;6061.458839;6061.462605;6061.479040;792861;792861;792861;9911;9911;12685776;12685816;100.000;1132.224;771.871;3044.596;3420.411;3044.596;16.415;1.205;10.758;6.103;2.825;32.893;16.458;16.435;65.459;49.966;3.765;18.563;0.482;0.651;0;0;0;0;0;0;0;0
153;1;1;1;6061.492556;6061.496430;6061.513432;792789;792789;792789;9910;9910;12684624;12684664;100.000;1075.387;746.035;3044.319;3420.097;3044.319;16.980;1.579;11.139;6.019;2.902;34.392;17.390;17.003;65.510;49.438;3.874;19.622;0.491;0.641;0;0;0;0;0;0;0;0
154;1;1;1;6061.525249;6061.528722;6061.546069;792309;792309;792309;9904;9904;12676944;12676984;100.000;1043.602;730.792;3042.476;3418.026;3042.476;17.324;1.085;10.831;6.164;2.887;32.637;15.290;17.347;62.438;53.152;3.473;18.926;1.041;0.666;0;0;0;0;0;0;0;0
155;1;1;1;6061.558880;6061.563065;6061.580280;791925;791925;791925;9900;9900;12670800;12670840;100.000;1044.692;736.034;3041.002;3416.400;3041.002;17.197;1.677;11.117;5.926;2.853;34.211;16.996;17.215;64.580;50.320;4.185;19.803;1.010;0.687;0;0;0;0;0;0;0;0
156;1;1;1;6061.591952;6061.595630;6061.612761;793795;793795;793795;9923;9923;12700720;12700760;100.000;1061.900;741.386;3048.182;3424.453;3048.182;17.117;1.271;10.867;6.094;2.833;32.481;15.350;17.131;63.437;52.741;3.678;18.951;0.768;0.693;0;0;0;0;0;0;0;0
157;1;1;1;6061.625310;6061.629694;6061.646866;793460;793460;793460;9919;9919;12695360;12695400;100.000;1055.028;739.342;3046.896;3423.015;3046.896;17.154;1.762;11.259;5.949;2.904;34.104;16.933;17.171;65.567;50.349;4.384;19.722;0.731;0.695;0;0;0;0;0;0;0;0
158;1;1;1;6061.658914;6061.662317;6061.679646;795527;795527;795527;9945;9945;12728432;12728472;100.000;1060.323;734.520;3054.833;3431.938;3054.833;17.308;1.226;11.022;6.173;2.949;32.781;15.452;17.329;63.603;52.863;3.403;19.170;0.710;0.696;0;0;0;0;0;0;0;0
159;1;1;1;6061.692414;6061.696402;6061.713070;798776;798776;798776;9985;9985;12780416;12780456;100.000;1107.392;766.770;3067.309;3445.931;3067.309;16.652;1.282;10.779;5.977;2.890;33.424;16.756;16.668;64.669;49.868;3.988;19.260;0.752;0.699;0;0;0;0;0;0;0;0
160;1;1;1;6061.725427;6061.729737;6061.747045;799362;799362;799362;9993;9993;12789792;12789832;100.000;1044.406;738.924;3069.560;3448.485;3069.560;17.291;1.685;11.145;5.911;2.871;33.975;16.666;17.309;64.389;50.946;4.310;19.902;0.001;0.656;0;0;0;0;0;0;0;0
161;1;1;1;6061.758621;6061.762872;6061.779483;789777;789777;789777;9873;9873;12636432;12636472;100.000;1094.628;760.718;3032.753;3407.128;3032.753;16.592;1.313;10.720;5.964;2.811;32.438;15.827;16.611;64.536;51.209;4.251;19.007;0.198;0.627;0;0;0;0;0;0;0;0
162;1;1;1;6061.792232;6061.796259;6061.813156;790930;790930;790930;9887;9887;12654880;12654920;100.000;1072.947;748.933;3037.181;3412.086;3037.181;16.882;1.561;11.005;5.992;2.813;33.673;16.775;16.897;65.128;50.181;4.027;19.346;0.053;0.591;0;0;0;0;0;0;0;0
163;1;1;1;6061.825440;6061.829748;6061.846594;793734;793734;793734;9922;9922;12699744;12699784;100.000;1077.170;753.856;3047.948;3424.181;3047.948;16.831;1.145;10.595;5.936;2.843;33.438;16.592;16.846;62.891;50.381;4.308;19.451;0.155;0.564;0;0;0;0;0;0;0;0
164;1;1;1;6061.858636;6061.862162;6061.880084;792883;792883;792883;9912;9912;12686128;12686168;100.000;985.004;707.850;3044.680;3420.534;3044.680;17.899;1.859;11.356;5.944;2.860;33.490;15.568;17.922;63.366;53.515;3.526;19.607;0.919;0.586;0;0;0;0;0;0;0;0
165;1;1;1;6061.892181;6061.896518;6061.913444;791299;791299;791299;9892;9892;12660784;12660824;100.000;1070.761;747.978;3038.598;3413.693;3038.598;16.908;1.237;10.698;5.935;2.861;33.360;16.433;16.927;63.203;50.739;4.336;19.634;1.022;0.613;0;0;0;0;0;0;0;0
166;1;1;1;6061.925524;6061.929637;6061.946346;789485;789485;789485;9869;9869;12631760;12631800;100.000;1080.420;755.984;3031.632;3405.855;3031.632;16.687;1.259;10.624;5.906;2.827;32.902;16.193;16.709;63.584;50.785;4.114;19.203;0.214;0.588;0;0;0;0;0;0;0;0
167;1;1;1;6061.958881;6061.962876;6061.979674;789977;789977;789977;9875;9875;12639632;12639672;100.000;1069.554;752.476;3033.521;3407.972;3033.521;16.782;1.573;10.879;5.897;2.772;33.327;16.530;16.797;64.764;50.401;3.995;19.197;0.094;0.558;0;0;0;0;0;0;0;0
168;1;1;1;6061.991967;6061.995423;6062.013073;791598;791598;791598;9895;9895;12665568;12665608;100.000;1010.266;717.613;3039.746;3414.955;3039.746;17.628;1.373;10.938;5.967;2.891;33.399;15.749;17.650;61.975;52.845;3.456;19.262;0.787;0.572;0;0;0;0;0;0;0;0
169;1;1;1;6062.025357;6062.029437;6062.046758;795034;795034;795034;9938;9938;12720544;12720584;100.000;1036.674;734.377;3052.940;3429.780;3052.940;17.278;1.771;11.215;5.923;2.855;33.686;16.364;17.322;64.743;51.421;4.080;19.615;0.680;0.579;0;0;0;0;0;0;0;0
170;1;1;1;6062.058656;6062.062797;6062.079843;794863;794863;794863;9936;9936;12717808;12717848;100.000;1079.884;746.067;3052.284;3429.047;3052.284;17.027;1.163;10.821;6.102;2.908;33.085;16.038;17.047;63.477;51.523;4.141;19.366;0.027;0.544;0;0;0;0;0;0;0;0
171;1;1;1;6062.092680;6062.096690;6062.113550;794885;794885;794885;9937;9937;12718160;12718200;100.000;1078.247;754.331;3052.368;3429.169;3052.368;16.844;1.736;11.121;5.927;2.849;33.707;16.847;16.860;65.958;50.020;4.010;19.740;0.560;0.545;0;0;0;0;0;0;0;0
172;1;1;1;6062.125162;6062.128519;6062.145222;788905;788905;788905;9862;9862;12622480;12622520;100.000;1081.729;755.697;3029.405;3403.362;3029.405;16.681;1.139;10.617;5.984;2.835;31.672;14.969;16.703;63.565;52.738;3.357;18.079;1.504;0.605;0;0;0;0;0;0;0;0
173;1;1;1;6062.159085;6062.162901;6062.179927;787376;787376;787376;9843;9843;12598016;12598056;100.000;1065.141;739.934;3023.533;3396.770;3023.533;17.010;1.214;10.810;6.098;2.813;34.705;17.679;17.026;63.489;49.059;3.816;19.450;1.049;0.633;0;0;0;0;0;0;0;0
174;1;1;1;6062.193564;6062.197653;6062.214398;791921;791921;791921;9900;9900;12670736;12670776;100.000;1078.800;756.665;3040.986;3416.385;3040.986;16.730;1.718;11.028;5.868;2.823;34.471;17.725;16.746;65.854;48.579;4.089;20.588;1.418;0.682;0;0;0;0;0;0;0;0
175;1;1;1;6062.225616;6062.229267;6062.246327;785044;785044;785044;9814;9814;12560704;12560744;100.000;1057.205;736.263;3014.579;3386.716;3014.579;17.040;1.217;10.831;6.101;2.840;31.929;14.869;17.060;63.485;53.432;3.651;19.184;1.719;0.747;0;0;0;0;0;0;0;0
176;1;1;1;6062.259881;6062.263936;6062.280866;785759;785759;785759;9822;9822;12572144;12572184;100.000;1061.696;742.620;3017.324;3389.765;3017.324;16.913;1.874;11.240;5.870;2.880;34.539;17.609;16.929;66.392;49.016;4.056;20.389;1.336;0.784;0;0;0;0;0;0;0;0
177;1;1;1;6062.292440;6062.296208;6062.313028;782963;782963;782963;9788;9788;12527408;12527448;100.000;1060.582;744.819;3006.588;3377.739;3006.588;16.797;1.115;10.504;5.916;2.791;32.162;15.343;16.819;62.450;52.296;3.768;19.218;1.061;0.801;0;0;0;0;0;0;0;0
178;1;1;1;6062.325766;6062.329912;6062.346321;783666;783666;783666;9796;9796;12538656;12538696;100.000;1095.270;764.133;3009.287;3380.742;3009.287;16.387;1.274;10.530;5.815;2.803;33.293;16.884;16.409;64.171;49.286;4.146;19.178;0.370;0.774;0;0;0;0;0;0;0;0
179;1;1;1;6062.359301;6062.363333;6062.380165;786714;786714;786714;9834;9834;12587424;12587464;100.000;1057.959;747.855;3020.991;3393.887;3020.991;16.816;1.827;11.053;5.823;2.790;33.844;17.012;16.831;65.672;49.733;4.032;19.688;0.088;0.731;0;0;0;0;0;0;0;0
180;1;1;1;6062.392215;6062.395750;6062.412774;787583;787583;787583;9845;9845;12601328;12601368;100.000;1058.283;740.187;3024.328;3397.641;3024.328;17.002;1.347;10.829;6.005;2.820;32.610;15.585;17.025;63.609;52.207;3.535;18.964;0.917;0.743;0;0;0;0;0;0;0;0
181;1;1;1;6062.426691;6062.430503;6062.447482;793719;793719;793719;9922;9922;12699504;12699544;100.000;1060.206;747.933;3047.891;3424.123;3047.891;16.963;1.780;11.121;5.878;2.842;34.708;17.728;16.980;65.497;48.921;3.811;20.339;1.420;0.785;0;0;0;0;0;0;0;0
182;1;1;1;6062.458968;6062.462477;6062.479771;792329;792329;792329;9905;9905;12677264;12677304;100.000;1036.325;733.047;3042.553;3418.141;3042.553;17.277;1.261;10.773;5.980;2.856;32.288;14.994;17.294;62.296;53.561;3.508;19.294;1.359;0.821;0;0;0;0;0;0;0;0
183;1;1;1;6062.492344;6062.496406;6062.513790;801464;801464;801464;10019;10019;12823424;12823464;100.000;1052.213;737.672;3077.631;3457.542;3077.631;17.366;1.803;11.425;6.089;2.886;34.019;16.635;17.384;65.724;51.100;4.062;19.979;0.596;0.807;0;0;0;0;0;0;0;0
184;1;1;1;6062.526628;6062.530592;6062.547293;796948;796948;796948;9962;9962;12751168;12751208;100.000;1096.767;763.479;3060.290;3438.039;3060.290;16.683;1.264;10.731;5.989;2.837;33.504;16.802;16.701;64.250;49.850;3.964;20.150;0.853;0.810;0;0;0;0;0;0;0;0
185;1;1;1;6062.559014;6062.563002;6062.579694;802598;802598;802598;10033;10033;12841568;12841608;100.000;1101.094;769.368;3081.986;3462.428;3081.986;16.647;1.243;10.663;5.976;2.805;32.400;15.709;16.691;63.886;51.515;3.989;19.217;0.923;0.817;0;0;0;0;0;0;0;0
186;1;1;1;6062.592434;6062.596436;6062.613222;797039;797039;797039;9963;9963;12752624;12752664;100.000;1090.410;759.716;3060.639;3438.427;3060.639;16.770;1.544;10.995;5.987;2.831;33.529;16.742;16.786;65.498;50.065;4.002;19.412;0.100;0.772;0;0;0;0;0;0;0;0
187;1;1;1;6062.625584;6062.629818;6062.646667;797511;797511;797511;9969;9969;12760176;12760216;100.000;1107.665;757.334;3062.452;3440.467;3062.452;16.830;1.283;10.991;6.290;2.770;33.445;16.596;16.849;65.230;50.377;4.235;19.524;0.049;0.727;0;0;0;0;0;0;0;0
